URL,TTL,Response_Message
mbc.net,0,"traceroute to mbc.net (50.19.210.76), 30 hops max, 60 byte packets
"
mbc.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.613 ms  0.267 ms  0.213 ms  0.232 ms  0.271 ms  0.293 ms  0.206 ms  0.264 ms  0.282 ms  0.295 ms
"
mbc.net,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.981 ms  1.502 ms  0.862 ms  0.958 ms  0.990 ms  0.841 ms  0.844 ms  1.240 ms  0.971 ms  0.827 ms
"
mbc.net,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.498 ms  17.063 ms  17.790 ms  17.178 ms  17.243 ms  17.304 ms  17.030 ms  17.241 ms  17.015 ms  17.007 ms
"
mbc.net,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.622 ms  22.249 ms  22.360 ms  22.476 ms  22.285 ms  22.202 ms  22.408 ms  22.311 ms  22.632 ms  22.718 ms
"
mbc.net,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.413 ms  30.359 ms  30.357 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.642 ms  30.867 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.512 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.334 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.277 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.774 ms  30.616 ms
"
mbc.net,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.384 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.732 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.425 ms  39.766 ms  39.293 ms  39.787 ms  39.307 ms  39.384 ms  40.705 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.381 ms
"
mbc.net,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  116.110 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  115.142 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  115.447 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  114.919 ms  115.227 ms  114.825 ms  115.142 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  115.641 ms  116.555 ms  115.982 ms
"
mbc.net,8," 8  be2490.ccr42.jfk02.atlas.cogentco.com (154.54.42.85)  118.356 ms be3627.ccr41.jfk02.atlas.cogentco.com (66.28.4.197)  116.413 ms be2490.ccr42.jfk02.atlas.cogentco.com (154.54.42.85)  117.338 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  115.213 ms  117.358 ms be2490.ccr42.jfk02.atlas.cogentco.com (154.54.42.85)  117.388 ms be3628.ccr42.jfk02.atlas.cogentco.com (154.54.27.169)  120.491 ms be2490.ccr42.jfk02.atlas.cogentco.com (154.54.42.85)  119.837 ms  118.356 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  115.548 ms
"
mbc.net,9," 9  be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  116.135 ms  117.914 ms be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  119.715 ms be3471.ccr41.jfk02.atlas.cogentco.com (154.54.40.154)  115.565 ms be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  118.105 ms  117.670 ms  118.197 ms be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  116.748 ms  116.982 ms  117.078 ms
"
mbc.net,10,"10  38.140.107.42 (38.140.107.42)  115.794 ms 38.140.106.162 (38.140.106.162)  125.523 ms be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  114.802 ms 38.140.107.42 (38.140.107.42)  117.336 ms be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  114.962 ms 38.140.106.162 (38.140.106.162)  118.996 ms 38.140.107.42 (38.140.107.42)  122.546 ms  121.803 ms be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  115.648 ms 38.140.106.162 (38.140.106.162)  117.111 ms
"
mbc.net,11,"11  38.140.106.162 (38.140.106.162)  116.860 ms 52.93.31.51 (52.93.31.51)  115.778 ms 52.93.31.63 (52.93.31.63)  120.010 ms 52.93.31.47 (52.93.31.47)  121.309 ms 52.93.31.33 (52.93.31.33)  124.683 ms 52.93.31.49 (52.93.31.49)  120.331 ms 38.140.107.42 (38.140.107.42)  114.844 ms 38.140.106.162 (38.140.106.162)  117.085 ms 52.93.31.53 (52.93.31.53)  123.401 ms 38.140.107.42 (38.140.107.42)  116.975 ms
"
mbc.net,12,"12  52.93.31.51 (52.93.31.51)  117.848 ms 52.93.4.10 (52.93.4.10)  112.211 ms 52.93.4.52 (52.93.4.52)  112.045 ms 52.93.31.61 (52.93.31.61)  117.179 ms 52.93.4.22 (52.93.4.22)  115.609 ms 52.93.4.14 (52.93.4.14)  113.929 ms 52.93.31.51 (52.93.31.51)  114.962 ms 52.93.31.33 (52.93.31.33)  114.677 ms 52.93.4.38 (52.93.4.38)  111.121 ms 52.93.4.14 (52.93.4.14)  113.578 ms
"
mbc.net,13,"13  * 52.93.4.8 (52.93.4.8)  110.967 ms 52.93.4.10 (52.93.4.10)  110.710 ms * * * * * * *
"
mbc.net,14,"14  150.222.240.56 (150.222.240.56)  117.207 ms 54.240.229.147 (54.240.229.147)  118.840 ms 54.240.229.149 (54.240.229.149)  117.352 ms * 54.240.229.143 (54.240.229.143)  117.026 ms *  118.537 ms 52.93.132.204 (52.93.132.204)  117.881 ms 54.240.229.139 (54.240.229.139)  119.325 ms 54.240.229.143 (54.240.229.143)  119.267 ms
"
mbc.net,15,"15  * * 52.93.132.204 (52.93.132.204)  116.048 ms * * * * * * *
"
mbc.net,16,"16  * * * * * * * * * *
"
mbc.net,17,"17  * * * * * * * * * *
"
mbc.net,18,"18  * * * * * * * * * *
"
mbc.net,19,"19  * * * * * * * * * *
"
mbc.net,20,"20  * * * * * * * * * *
"
mbc.net,21,"21  * * * * * * * * * *
"
mbc.net,22,"22  * * * * * * * * * *
"
mbc.net,23,"23  * * * * * * * * * *
"
mbc.net,24,"24  * * * * * * * * * *
"
mbc.net,25,"25  52.93.28.202 (52.93.28.202)  116.195 ms 52.93.28.212 (52.93.28.212)  117.555 ms 52.93.28.238 (52.93.28.238)  116.958 ms * 52.93.28.206 (52.93.28.206)  118.424 ms 52.93.28.244 (52.93.28.244)  116.122 ms 52.93.28.240 (52.93.28.240)  116.988 ms 52.93.28.242 (52.93.28.242)  118.574 ms 52.93.28.230 (52.93.28.230)  118.479 ms *
"
mbc.net,26,"26  * * * 52.93.28.198 (52.93.28.198)  116.810 ms * * * * 52.93.28.202 (52.93.28.202)  116.055 ms 52.93.28.230 (52.93.28.230)  116.691 ms
"
mbc.net,27,"27  * * * * * * * * * *
"
mbc.net,28,"28  * * * * * * * * * *
"
mbc.net,29,"29  * * * * * * * * * *
"
mbc.net,30,"30  * * * * * * * * * *
"
