URL,TTL,Response_Message
myanimelist.net,0,"traceroute to myanimelist.net (54.201.220.202), 30 hops max, 60 byte packets
"
myanimelist.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.428 ms  1.515 ms  0.247 ms  0.289 ms  0.219 ms  0.256 ms  0.262 ms  1.229 ms  0.236 ms  0.309 ms
"
myanimelist.net,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.926 ms  0.941 ms  0.880 ms  0.876 ms  0.831 ms  1.260 ms  0.894 ms  0.850 ms  0.861 ms  0.887 ms
"
myanimelist.net,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  16.973 ms  17.019 ms  16.999 ms  17.102 ms  17.169 ms  17.005 ms  16.972 ms  17.004 ms  16.988 ms  17.305 ms
"
myanimelist.net,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.299 ms  22.344 ms  22.380 ms  22.337 ms  22.318 ms  22.563 ms  22.536 ms  22.423 ms  22.195 ms  22.536 ms
"
myanimelist.net,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.423 ms  30.516 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.598 ms  30.445 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.624 ms  30.564 ms  30.721 ms  30.647 ms  30.742 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  33.138 ms
"
myanimelist.net,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.873 ms  39.928 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.404 ms  39.759 ms  39.727 ms  39.846 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.600 ms  39.468 ms  39.697 ms  39.694 ms
"
myanimelist.net,7," 7  be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  186.566 ms  186.461 ms be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  140.161 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  186.382 ms  187.019 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  135.775 ms  135.489 ms be2249.ccr41.ams03.atlas.cogentco.com (154.54.36.213)  190.548 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  135.424 ms  135.378 ms
"
myanimelist.net,8," 8  be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  187.528 ms be3042.ccr21.ymq01.atlas.cogentco.com (154.54.44.162)  139.650 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  186.457 ms  187.056 ms be3042.ccr21.ymq01.atlas.cogentco.com (154.54.44.162)  139.630 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.746 ms be3042.ccr21.ymq01.atlas.cogentco.com (154.54.44.162)  139.363 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  186.556 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.551 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  186.407 ms
"
myanimelist.net,9," 9  be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.804 ms be3259.ccr31.yyz02.atlas.cogentco.com (154.54.41.205)  141.626 ms be3600.ccr22.alb02.atlas.cogentco.com (154.54.0.221)  185.332 ms be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.910 ms  135.465 ms be3042.ccr21.ymq01.atlas.cogentco.com (154.54.44.162)  189.917 ms be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.270 ms be3600.ccr22.alb02.atlas.cogentco.com (154.54.0.221)  185.299 ms be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.533 ms  135.774 ms
"
