URL,TTL,Response_Message
naver.jp,0,"traceroute to naver.jp (119.235.235.13), 30 hops max, 60 byte packets
"
naver.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.300 ms  0.251 ms  3.252 ms  1.077 ms  0.281 ms  0.287 ms  0.263 ms  1.671 ms  0.290 ms  0.279 ms
"
naver.jp,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.836 ms  0.885 ms  0.964 ms  0.939 ms  0.812 ms  0.847 ms  0.782 ms  0.795 ms  0.876 ms  0.840 ms
"
naver.jp,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.445 ms  16.971 ms  17.260 ms  17.355 ms  17.046 ms  17.400 ms  17.362 ms  17.344 ms  17.330 ms  17.037 ms
"
naver.jp,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.654 ms  25.961 ms  23.208 ms  22.532 ms  22.381 ms  22.525 ms  22.817 ms  22.544 ms  22.467 ms  23.124 ms
"
naver.jp,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.559 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.433 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.534 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.647 ms  30.738 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.507 ms  30.728 ms  30.744 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.793 ms  35.415 ms
"
naver.jp,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.344 ms  42.689 ms  39.712 ms  40.384 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.729 ms  39.524 ms  39.469 ms  39.552 ms  39.587 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  45.728 ms
"
naver.jp,7," 7  be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  186.495 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  135.786 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  186.487 ms be2249.ccr41.ams03.atlas.cogentco.com (154.54.36.213)  190.818 ms  190.433 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  135.621 ms be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  140.059 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  186.489 ms be2249.ccr41.ams03.atlas.cogentco.com (154.54.36.213)  190.626 ms be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  140.120 ms
"
naver.jp,8," 8  be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  186.516 ms be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  190.410 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  186.554 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.304 ms be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  190.663 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  186.484 ms  186.474 ms be3042.ccr21.ymq01.atlas.cogentco.com (154.54.44.162)  139.684 ms be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  190.664 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.387 ms
"
naver.jp,9," 9  be3600.ccr22.alb02.atlas.cogentco.com (154.54.0.221)  185.679 ms  185.570 ms be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.517 ms be3259.ccr31.yyz02.atlas.cogentco.com (154.54.41.205)  140.205 ms  140.269 ms  140.300 ms be3042.ccr21.ymq01.atlas.cogentco.com (154.54.44.162)  189.977 ms be3259.ccr31.yyz02.atlas.cogentco.com (154.54.41.205)  140.297 ms be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.285 ms  135.308 ms
"
naver.jp,10,"10  be3259.ccr31.yyz02.atlas.cogentco.com (154.54.41.205)  190.800 ms be2879.ccr22.cle04.atlas.cogentco.com (154.54.29.173)  186.137 ms  186.246 ms  186.000 ms  186.214 ms be2878.ccr21.cle04.atlas.cogentco.com (154.54.26.129)  135.808 ms be2879.ccr22.cle04.atlas.cogentco.com (154.54.29.173)  185.806 ms be2878.ccr21.cle04.atlas.cogentco.com (154.54.26.129)  135.553 ms  135.465 ms be3259.ccr31.yyz02.atlas.cogentco.com (154.54.41.205)  190.489 ms
"
naver.jp,11,"11  be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  140.279 ms be2718.ccr42.ord01.atlas.cogentco.com (154.54.7.129)  185.907 ms  186.431 ms be2993.ccr21.cle04.atlas.cogentco.com (154.54.31.225)  190.552 ms be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  140.438 ms  135.469 ms be2718.ccr42.ord01.atlas.cogentco.com (154.54.7.129)  185.293 ms  185.494 ms be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  135.467 ms be2718.ccr42.ord01.atlas.cogentco.com (154.54.7.129)  185.260 ms
"
