URL,TTL,Response_Message
nbcnews.com,0,"traceroute to nbcnews.com (35.153.221.86), 30 hops max, 60 byte packets
"
nbcnews.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.692 ms  0.912 ms  0.322 ms  0.259 ms  0.254 ms  4.811 ms  4.987 ms  0.352 ms  0.302 ms  0.271 ms
"
nbcnews.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.968 ms  0.893 ms  0.942 ms  1.351 ms  2.080 ms  1.297 ms  0.856 ms  0.959 ms  0.814 ms  0.848 ms
"
nbcnews.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  16.968 ms  16.973 ms  17.475 ms  17.091 ms  16.958 ms  16.994 ms  17.075 ms  17.059 ms  17.494 ms  16.942 ms
"
nbcnews.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.528 ms  23.067 ms  22.418 ms  22.432 ms  22.279 ms  22.496 ms  25.770 ms  25.303 ms  23.853 ms  22.289 ms
"
nbcnews.com,5," 5  be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.355 ms  30.629 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.440 ms  30.420 ms  33.964 ms  30.863 ms  30.807 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.584 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.675 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.709 ms
"
nbcnews.com,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.585 ms  39.733 ms  39.432 ms  39.397 ms  39.332 ms  39.493 ms  39.504 ms  39.533 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.442 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.577 ms
"
nbcnews.com,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  115.552 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  115.207 ms  115.054 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  115.620 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  115.262 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  115.598 ms  115.708 ms  116.680 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  115.127 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  116.856 ms
"
nbcnews.com,8," 8  be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  115.725 ms be3628.ccr42.jfk02.atlas.cogentco.com (154.54.27.169)  120.281 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  115.737 ms be3628.ccr42.jfk02.atlas.cogentco.com (154.54.27.169)  120.222 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  117.850 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  115.552 ms be3627.ccr41.jfk02.atlas.cogentco.com (66.28.4.197)  118.021 ms be2490.ccr42.jfk02.atlas.cogentco.com (154.54.42.85)  119.779 ms be3627.ccr41.jfk02.atlas.cogentco.com (66.28.4.197)  120.237 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  117.448 ms
"
nbcnews.com,9," 9  be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  117.660 ms be3471.ccr41.jfk02.atlas.cogentco.com (154.54.40.154)  115.453 ms  115.373 ms be3472.ccr42.jfk02.atlas.cogentco.com (154.54.46.34)  119.625 ms be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  117.123 ms be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  118.135 ms be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  118.642 ms  117.079 ms  116.105 ms  118.718 ms
"
