URL,TTL,Response_Message
nike.com,0,"traceroute to nike.com (146.197.184.71), 30 hops max, 60 byte packets
"
nike.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.302 ms  0.344 ms  0.260 ms  3.624 ms  3.027 ms  0.283 ms  0.247 ms  0.283 ms  4.726 ms  0.323 ms
"
nike.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  1.333 ms  0.741 ms  0.495 ms  1.457 ms  0.545 ms  0.569 ms  0.724 ms  0.569 ms  0.606 ms  0.612 ms
"
nike.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.612 ms  28.569 ms  28.631 ms  28.661 ms  28.620 ms  26.081 ms  26.207 ms  26.108 ms  29.590 ms  28.661 ms
"
nike.com,4," 4  * * * * * * * * * *
"
nike.com,5," 5  ae8.mpr1.fra3.de.zip.zayo.com (64.125.26.233)  30.956 ms  28.494 ms  35.966 ms  28.478 ms  28.470 ms  31.012 ms  30.947 ms  30.985 ms  33.029 ms  30.975 ms
"
nike.com,6," 6  ae27.cs1.fra6.de.eth.zayo.com (64.125.31.216)  115.892 ms  115.850 ms  115.905 ms  115.880 ms  120.960 ms  118.369 ms  118.375 ms  116.921 ms  115.885 ms  118.663 ms
"
nike.com,7," 7  ae2.cs1.ams17.nl.eth.zayo.com (64.125.29.59)  119.873 ms  117.448 ms  129.229 ms  119.905 ms  119.933 ms  117.340 ms  119.902 ms  117.464 ms  117.425 ms  117.417 ms
"
nike.com,8," 8  ae0.cs1.ams10.nl.eth.zayo.com (64.125.29.80)  115.023 ms  115.404 ms  115.041 ms  117.775 ms  115.139 ms  115.029 ms  117.534 ms  115.078 ms  114.984 ms  120.039 ms
"
nike.com,9," 9  ae2.cs1.lhr15.uk.eth.zayo.com (64.125.29.17)  115.881 ms  118.353 ms  115.839 ms  116.460 ms  118.372 ms  118.395 ms  118.422 ms  132.994 ms  115.840 ms  118.378 ms
"
nike.com,10,"10  * * * * * * * * * *
"
nike.com,11,"11  * * * * * * * * * *
"
nike.com,12,"12  * * * * * * ae4.cs1.dca2.us.eth.zayo.com (64.125.29.203)  115.042 ms  114.984 ms  121.404 ms  115.114 ms
"
nike.com,13,"13  ae27.cr1.dca2.us.zip.zayo.com (64.125.30.247)  114.648 ms  114.649 ms  114.625 ms  114.649 ms  116.281 ms  123.419 ms  117.214 ms  114.655 ms  117.136 ms  117.146 ms
"
nike.com,14,"14  ae14.er5.iad10.us.zip.zayo.com (64.125.28.61)  114.917 ms  114.888 ms  114.905 ms  114.859 ms  114.923 ms  114.841 ms  114.891 ms  114.883 ms  117.454 ms  117.469 ms
"
nike.com,15,"15  209.66.120.102.IPYX-076520-960-ZYO.zip.zayo.com (209.66.120.102)  116.247 ms  116.453 ms  134.594 ms  116.181 ms  116.210 ms  116.139 ms  116.262 ms  116.333 ms  116.309 ms  116.242 ms
"
nike.com,16,"16  * * * * * * * * * *
"
nike.com,17,"17  69.20.1.193 (69.20.1.193)  110.869 ms  113.434 ms  113.389 ms  113.363 ms  113.430 ms  110.836 ms  113.368 ms  110.803 ms  110.711 ms  110.797 ms
"
nike.com,18,"18  146.197.184.71 (146.197.184.71)  110.777 ms  115.101 ms  115.617 ms  121.486 ms  113.133 ms  112.545 ms  118.206 ms  120.359 ms  116.378 ms  118.101 ms
"
