URL,TTL,Response_Message
olx.pl,0,"traceroute to olx.pl (54.240.168.3), 30 hops max, 60 byte packets
"
olx.pl,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.312 ms  0.297 ms  1.502 ms  0.666 ms  1.037 ms  0.491 ms  0.277 ms  0.263 ms  0.270 ms  0.603 ms
"
olx.pl,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.609 ms  0.597 ms  0.533 ms  0.525 ms  1.386 ms  1.504 ms  0.526 ms  0.502 ms  0.614 ms  0.606 ms
"
olx.pl,3," 3  amsterdam-nik-b1-xe0-0-2-vlan3831.fiord.net (62.140.245.201)  35.903 ms  35.998 ms  38.438 ms  38.467 ms  39.277 ms  59.675 ms  38.406 ms  38.457 ms  35.906 ms  35.909 ms
"
olx.pl,4," 4  99.82.176.96 (99.82.176.96)  33.319 ms  35.470 ms  35.605 ms  35.431 ms  35.417 ms  35.467 ms  35.465 ms  35.441 ms  32.966 ms  36.597 ms
"
olx.pl,5," 5  52.93.0.118 (52.93.0.118)  36.544 ms 52.93.0.86 (52.93.0.86)  34.008 ms 52.93.0.118 (52.93.0.118)  36.446 ms 52.93.0.38 (52.93.0.38)  36.665 ms 52.93.0.134 (52.93.0.134)  33.991 ms 52.93.0.118 (52.93.0.118)  34.499 ms 52.93.0.134 (52.93.0.134)  36.971 ms  36.499 ms 52.93.0.102 (52.93.0.102)  40.135 ms 52.93.0.54 (52.93.0.54)  34.020 ms
"
olx.pl,6," 6  52.93.113.237 (52.93.113.237)  33.517 ms 52.93.113.243 (52.93.113.243)  43.745 ms  36.169 ms 52.93.113.63 (52.93.113.63)  42.444 ms 52.93.113.245 (52.93.113.245)  43.494 ms 52.93.113.241 (52.93.113.241)  33.227 ms 52.93.113.237 (52.93.113.237)  35.722 ms  33.691 ms 52.93.113.239 (52.93.113.239)  33.546 ms 52.93.113.247 (52.93.113.247)  33.253 ms
"
olx.pl,7," 7  * * * * * * * * * *
"
olx.pl,8," 8  * * * * * * * * * *
"
olx.pl,9," 9  * * * * * * * * * *
"
olx.pl,10,"10  * * * * * * * * * *
"
olx.pl,11,"11  * * * * * * * * * *
"
olx.pl,12,"12  server-54-240-168-3.ams54.r.cloudfront.net (54.240.168.3)  35.753 ms  35.701 ms  35.685 ms  35.704 ms  35.621 ms  35.687 ms  35.638 ms  35.675 ms  33.236 ms  35.731 ms
"
