URL,TTL,Response_Message
southwest.com,0,"traceroute to southwest.com (208.94.153.99), 30 hops max, 60 byte packets
"
southwest.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.238 ms  0.303 ms  0.335 ms  0.281 ms  1.410 ms  0.760 ms  0.300 ms  0.301 ms  0.318 ms  0.367 ms
"
southwest.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.926 ms  0.880 ms  0.840 ms  0.991 ms  1.046 ms  0.964 ms  0.917 ms  0.942 ms  0.861 ms  0.915 ms
"
southwest.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.069 ms  17.093 ms  17.514 ms  17.038 ms  17.248 ms  17.039 ms  17.153 ms  17.191 ms  17.032 ms  17.228 ms
"
southwest.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  23.153 ms  22.501 ms  22.345 ms  22.445 ms  22.646 ms  22.860 ms  22.252 ms  22.162 ms  22.526 ms  22.469 ms
"
southwest.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.493 ms  30.448 ms  30.428 ms  30.427 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.455 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.688 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.988 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.430 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.531 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.491 ms
"
southwest.com,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.682 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.859 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.636 ms  39.491 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.744 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.624 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.800 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.425 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.484 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.308 ms
"
southwest.com,7," 7  be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  140.001 ms be2183.ccr22.lpl01.atlas.cogentco.com (154.54.58.69)  140.644 ms  140.705 ms  140.711 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  135.956 ms  135.897 ms  135.595 ms be2183.ccr22.lpl01.atlas.cogentco.com (154.54.58.69)  140.620 ms  140.673 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  140.366 ms
"
southwest.com,8," 8  be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.336 ms  135.378 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  135.547 ms be3042.ccr21.ymq01.atlas.cogentco.com (154.54.44.162)  139.327 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.474 ms be3042.ccr21.ymq01.atlas.cogentco.com (154.54.44.162)  139.355 ms be2490.ccr42.jfk02.atlas.cogentco.com (154.54.42.85)  136.804 ms be3043.ccr22.ymq01.atlas.cogentco.com (154.54.44.166)  140.832 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  135.464 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.313 ms
"
southwest.com,9," 9  be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.369 ms be3260.ccr32.yyz02.atlas.cogentco.com (154.54.42.89)  139.538 ms be3600.ccr22.alb02.atlas.cogentco.com (154.54.0.221)  134.961 ms be3259.ccr31.yyz02.atlas.cogentco.com (154.54.41.205)  140.127 ms  140.144 ms be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  136.786 ms be2890.ccr22.cle04.atlas.cogentco.com (154.54.82.245)  136.638 ms be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.370 ms  135.682 ms be3260.ccr32.yyz02.atlas.cogentco.com (154.54.42.89)  140.050 ms
"
