URL,TTL,Response_Message
voc.com.cn,0,"traceroute to voc.com.cn (124.232.151.199), 30 hops max, 60 byte packets
"
voc.com.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  2.651 ms  0.678 ms  0.278 ms  0.223 ms  0.284 ms  4.889 ms  0.233 ms  0.809 ms  0.753 ms  0.223 ms
"
voc.com.cn,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.646 ms  0.571 ms  0.620 ms  0.601 ms  32.047 ms  0.609 ms  0.614 ms  0.618 ms  0.573 ms  0.605 ms
"
voc.com.cn,3," 3  100.64.65.25 (100.64.65.25)  7.861 ms  8.232 ms  34.070 ms  8.283 ms  8.235 ms  7.792 ms  7.773 ms  8.220 ms  7.806 ms  7.730 ms
"
voc.com.cn,4," 4  100.64.64.141 (100.64.64.141)  29.964 ms  30.404 ms  30.491 ms  29.918 ms  30.410 ms  29.976 ms  29.975 ms  64.949 ms  29.981 ms  30.415 ms
"
voc.com.cn,5," 5  81.173.22.17 (81.173.22.17)  34.324 ms  33.788 ms  32.942 ms  32.688 ms  31.902 ms  30.828 ms  30.624 ms  33.772 ms  32.740 ms  31.885 ms
"
voc.com.cn,6," 6  202.97.95.161 (202.97.95.161)  233.522 ms  233.957 ms  236.834 ms * * *  233.507 ms  233.512 ms * *
"
voc.com.cn,7," 7  202.97.12.10 (202.97.12.10)  240.543 ms 202.97.91.138 (202.97.91.138)  242.246 ms 202.97.12.22 (202.97.12.22)  232.580 ms 202.97.94.117 (202.97.94.117)  235.935 ms 202.97.12.10 (202.97.12.10)  240.537 ms 202.97.94.117 (202.97.94.117)  235.564 ms 202.97.12.10 (202.97.12.10)  240.598 ms 202.97.91.138 (202.97.91.138)  240.739 ms 202.97.94.105 (202.97.94.105)  240.925 ms 202.97.12.22 (202.97.12.22)  232.532 ms
"
voc.com.cn,8," 8  202.97.94.133 (202.97.94.133)  254.554 ms * 202.97.94.141 (202.97.94.141)  251.454 ms  247.093 ms 202.97.94.145 (202.97.94.145)  235.206 ms 202.97.94.129 (202.97.94.129)  248.400 ms 202.97.94.125 (202.97.94.125)  244.267 ms 202.97.94.121 (202.97.94.121)  239.378 ms 202.97.91.153 (202.97.91.153)  247.436 ms 202.97.94.133 (202.97.94.133)  255.102 ms
"
voc.com.cn,9," 9  202.97.42.162 (202.97.42.162)  254.593 ms *  254.051 ms * * 202.97.77.162 (202.97.77.162)  290.898 ms * 202.97.42.162 (202.97.42.162)  255.497 ms * *
"
voc.com.cn,10,"10  61.137.8.150 (61.137.8.150)  269.461 ms 61.137.9.150 (61.137.9.150)  254.782 ms 61.137.8.34 (61.137.8.34)  264.672 ms 61.137.8.154 (61.137.8.154)  255.360 ms 61.137.8.150 (61.137.8.150)  261.022 ms * 61.137.8.154 (61.137.8.154)  263.683 ms 61.137.8.34 (61.137.8.34)  264.545 ms 61.137.8.150 (61.137.8.150)  270.055 ms 61.137.9.158 (61.137.9.158)  268.756 ms
"
voc.com.cn,11,"11  * * 124.232.134.1 (124.232.134.1)  264.536 ms * * * 124.232.134.5 (124.232.134.5)  267.824 ms  274.424 ms 124.232.134.1 (124.232.134.1)  277.477 ms  278.055 ms
"
voc.com.cn,12,"12  124.232.151.199 (124.232.151.199)  269.229 ms *  269.878 ms  267.663 ms  269.220 ms  269.901 ms * * * *
"
voc.com.cn,13,"13  124.232.151.199 (124.232.151.199)  257.763 ms  267.140 ms  280.520 ms  259.011 ms  264.336 ms  267.645 ms  255.635 ms  267.924 ms  262.833 ms  266.259 ms
"
