URL,TTL,Response_Message
xcar.com.cn,0,"traceroute to xcar.com.cn (192.144.194.149), 30 hops max, 60 byte packets
"
xcar.com.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.334 ms  0.318 ms  1.804 ms  2.543 ms  0.356 ms  0.314 ms  0.259 ms  0.416 ms  1.146 ms  10.881 ms
"
xcar.com.cn,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  5.066 ms  0.576 ms  0.617 ms  0.567 ms  0.601 ms  0.575 ms  33.457 ms  0.575 ms  44.990 ms  18.243 ms
"
xcar.com.cn,3," 3  100.64.65.25 (100.64.65.25)  8.277 ms  19.153 ms  7.780 ms  29.633 ms  7.809 ms  7.799 ms  7.767 ms  8.264 ms  7.816 ms  8.246 ms
"
xcar.com.cn,4," 4  100.64.64.141 (100.64.64.141)  30.408 ms  30.397 ms  77.098 ms  30.039 ms  30.408 ms  30.405 ms  30.386 ms  30.387 ms  29.910 ms  30.022 ms
"
xcar.com.cn,5," 5  81.173.22.17 (81.173.22.17)  34.334 ms  33.520 ms  33.452 ms  33.176 ms  32.702 ms  31.743 ms  34.708 ms  33.762 ms  32.789 ms  31.918 ms
"
xcar.com.cn,6," 6  202.97.58.77 (202.97.58.77)  171.322 ms  174.302 ms  178.145 ms  174.038 ms  177.898 ms  174.062 ms  177.653 ms  173.553 ms  177.423 ms  172.393 ms
"
xcar.com.cn,7," 7  202.97.12.53 (202.97.12.53)  230.267 ms  229.798 ms  229.773 ms  230.315 ms  229.863 ms  229.825 ms  229.782 ms  229.778 ms * *
"
xcar.com.cn,8," 8  * * * * * * * * * *
"
xcar.com.cn,9," 9  * 36.110.244.18 (36.110.244.18)  193.513 ms 180.149.159.6 (180.149.159.6)  206.826 ms *  198.717 ms 220.181.177.222 (220.181.177.222)  215.411 ms * 180.149.159.6 (180.149.159.6)  199.633 ms * *
"
xcar.com.cn,10,"10  218.30.104.78 (218.30.104.78)  197.010 ms 218.30.104.126 (218.30.104.126)  249.763 ms * 218.30.104.78 (218.30.104.78)  190.614 ms  191.485 ms * 218.30.104.126 (218.30.104.126)  265.571 ms  249.772 ms 36.110.246.234 (36.110.246.234)  249.520 ms *
"
xcar.com.cn,11,"11  36.110.203.230 (36.110.203.230)  189.315 ms 36.110.203.242 (36.110.203.242)  285.163 ms 36.110.203.238 (36.110.203.238)  264.994 ms 36.110.203.242 (36.110.203.242)  254.565 ms 36.110.203.234 (36.110.203.234)  255.595 ms 36.110.203.230 (36.110.203.230)  196.090 ms  192.314 ms 36.110.203.242 (36.110.203.242)  277.108 ms  257.097 ms 36.110.203.230 (36.110.203.230)  189.873 ms
"
xcar.com.cn,12,"12  * * * * * * * * * *
"
xcar.com.cn,13,"13  192.144.194.149 (192.144.194.149)  187.790 ms  197.853 ms *  197.202 ms  188.088 ms  187.720 ms  188.537 ms  197.088 ms  187.333 ms  197.522 ms
"
